"time","abundance"
1,3000
2,4530
3,6632.373
4,9292.14565166613
5,12277.1139183125
6,15121.5564844033
7,17334.6462597153
8,18720.7351870606
9,19439.1985209755
10,19766.2444594239
11,19904.8585341871
12,19961.6718567193
13,19984.6246712907
14,19993.8427764943
15,19997.5359732557
16,19999.0142071594
